year,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP4-3.4,SSP4-6.0,SSP5-8.5,,,,total 1-1.9,total 1-2.6,total 2-4.5,total 3-3.4,total 3-7.0,total 4-3.4,total 4-6.0,total 5-8.5
1812,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,,,,-0.081102028,-0.081102028,-0.081102028,-0.081102028,-0.081102028,-0.081102028,-0.081102028,-0.081102028
1813,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,,,,0.158023488,0.158023488,0.158023488,0.158023488,0.158023488,0.158023488,0.158023488,0.158023488
1814,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,,,,0.243612733,0.243612733,0.243612733,0.243612733,0.243612733,0.243612733,0.243612733,0.243612733
1815,-3.612,-3.612,-3.612,-3.612,-3.612,-3.612,-3.612,-3.612,,,,-3.611553694,-3.611553694,-3.611553694,-3.611553694,-3.611553694,-3.611553694,-3.611553694,-3.611553694
1816,-4.694,-4.694,-4.694,-4.694,-4.694,-4.694,-4.694,-4.694,,,,-4.694084239,-4.694084239,-4.694084239,-4.694084239,-4.694084239,-4.694084239,-4.694084239,-4.694084239
1817,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,,,,-1.570452841,-1.570452841,-1.570452841,-1.570452841,-1.570452841,-1.570452841,-1.570452841,-1.570452841
1818,-0.333,-0.333,-0.333,-0.333,-0.333,-0.333,-0.333,-0.333,,,,-0.33309004,-0.33309004,-0.33309004,-0.33309004,-0.33309004,-0.33309004,-0.33309004,-0.33309004
1819,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,,,,0.086913975,0.086913975,0.086913975,0.086913975,0.086913975,0.086913975,0.086913975,0.086913975
1820,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,0.209563252,0.209563252,0.209563252,0.209563252,0.209563252,0.209563252,0.209563252,0.209563252
1821,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,,,,0.131312583,0.131312583,0.131312583,0.131312583,0.131312583,0.131312583,0.131312583,0.131312583
1822,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,,,,0.127342222,0.127342222,0.127342222,0.127342222,0.127342222,0.127342222,0.127342222,0.127342222
1823,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241,,,,-0.241133817,-0.241133817,-0.241133817,-0.241133817,-0.241133817,-0.241133817,-0.241133817,-0.241133817
1824,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,,,,0.041877156,0.041877156,0.041877156,0.041877156,0.041877156,0.041877156,0.041877156,0.041877156
1825,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,,,,0.22197253,0.22197253,0.22197253,0.22197253,0.22197253,0.22197253,0.22197253,0.22197253
1826,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,,,,0.316698363,0.316698363,0.316698363,0.316698363,0.316698363,0.316698363,0.316698363,0.316698363
1827,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,,,,0.358122247,0.358122247,0.358122247,0.358122247,0.358122247,0.358122247,0.358122247,0.358122247
1828,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,,,,0.361090238,0.361090238,0.361090238,0.361090238,0.361090238,0.361090238,0.361090238,0.361090238
1829,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,,,,0.360628708,0.360628708,0.360628708,0.360628708,0.360628708,0.360628708,0.360628708,0.360628708
1830,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,,,,0.339260805,0.339260805,0.339260805,0.339260805,0.339260805,0.339260805,0.339260805,0.339260805
1831,-2.377,-2.377,-2.377,-2.377,-2.377,-2.377,-2.377,-2.377,,,,-2.37701161,-2.37701161,-2.37701161,-2.37701161,-2.37701161,-2.37701161,-2.37701161,-2.37701161
1832,-1.569,-1.569,-1.569,-1.569,-1.569,-1.569,-1.569,-1.569,,,,-1.568880513,-1.568880513,-1.568880513,-1.568880513,-1.568880513,-1.568880513,-1.568880513,-1.568880513
1833,-0.387,-0.387,-0.387,-0.387,-0.387,-0.387,-0.387,-0.387,,,,-0.386502346,-0.386502346,-0.386502346,-0.386502346,-0.386502346,-0.386502346,-0.386502346,-0.386502346
1834,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,,,,0.050936123,0.050936123,0.050936123,0.050936123,0.050936123,0.050936123,0.050936123,0.050936123
1835,-1.735,-1.735,-1.735,-1.735,-1.735,-1.735,-1.735,-1.735,,,,-1.734689387,-1.734689387,-1.734689387,-1.734689387,-1.734689387,-1.734689387,-1.734689387,-1.734689387
1836,-1.015,-1.015,-1.015,-1.015,-1.015,-1.015,-1.015,-1.015,,,,-1.015349073,-1.015349073,-1.015349073,-1.015349073,-1.015349073,-1.015349073,-1.015349073,-1.015349073
1837,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,,,,-0.077863908,-0.077863908,-0.077863908,-0.077863908,-0.077863908,-0.077863908,-0.077863908,-0.077863908
1838,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,,,,0.260570933,0.260570933,0.260570933,0.260570933,0.260570933,0.260570933,0.260570933,0.260570933
1839,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,,,,0.362654974,0.362654974,0.362654974,0.362654974,0.362654974,0.362654974,0.362654974,0.362654974
1840,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,,,,0.377060688,0.377060688,0.377060688,0.377060688,0.377060688,0.377060688,0.377060688,0.377060688
1841,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,,,,0.356246832,0.356246832,0.356246832,0.356246832,0.356246832,0.356246832,0.356246832,0.356246832
1842,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,,,,0.328233462,0.328233462,0.328233462,0.328233462,0.328233462,0.328233462,0.328233462,0.328233462
1843,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,,,,0.307153717,0.307153717,0.307153717,0.307153717,0.307153717,0.307153717,0.307153717,0.307153717
1844,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,,,,0.291595805,0.291595805,0.291595805,0.291595805,0.291595805,0.291595805,0.291595805,0.291595805
1845,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,,,,0.282012172,0.282012172,0.282012172,0.282012172,0.282012172,0.282012172,0.282012172,0.282012172
1846,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,,,,0.098096692,0.098096692,0.098096692,0.098096692,0.098096692,0.098096692,0.098096692,0.098096692
1847,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,,,,0.1668283,0.1668283,0.1668283,0.1668283,0.1668283,0.1668283,0.1668283,0.1668283
1848,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,,,,0.259626745,0.259626745,0.259626745,0.259626745,0.259626745,0.259626745,0.259626745,0.259626745
1849,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,,,,0.309506445,0.309506445,0.309506445,0.309506445,0.309506445,0.309506445,0.309506445,0.309506445
1850,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,,,,0.330573173,0.330573173,0.330573173,0.330573173,0.330573173,0.330573173,0.330573173,0.330573173
1851,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,,,,0.340821686,0.340821686,0.340821686,0.340821686,0.340821686,0.340821686,0.340821686,0.340821686
1852,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,,,,0.341398902,0.341398902,0.341398902,0.341398902,0.341398902,0.341398902,0.341398902,0.341398902
1853,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,0.150341872,0.150341872,0.150341872,0.150341872,0.150341872,0.150341872,0.150341872,0.150341872
