year,SSP1-2.6,SSP5-8.5,,,,,total,total
2060,3.584,6.218,,,,,3.58362690798703,6.21839692272901
2061,3.562,6.296,,,,,3.56159107289629,6.2964310736264
2062,3.542,6.378,,,,,3.54245821118052,6.37814135681344
2063,3.533,6.47,,,,,3.53260973957282,6.47006052774097
2064,3.526,6.566,,,,,3.52568265714112,6.56582598233661
2065,3.527,6.67,,,,,3.52668376706459,6.67042601879595
2066,3.549,6.798,,,,,3.54930498183215,6.79755117805507
2067,3.568,6.922,,,,,3.56837371447811,6.92202947198658
2068,3.576,7.035,,,,,3.57552499220962,7.03543721237859
2069,3.562,7.129,,,,,3.56235217022158,7.12942727823188
2070,3.539,7.214,,,,,3.53873264756368,7.21405306834976
2071,3.508,7.297,,,,,3.50783559647246,7.29716360677615
2072,3.488,7.392,,,,,3.48798140394191,7.39209726701445
2073,3.47,7.489,,,,,3.47015757487325,7.48927700882331
2074,3.448,7.582,,,,,3.44789284110343,7.58236559943942
2075,3.432,7.682,,,,,3.43188526155417,7.68211438687031
2076,3.415,7.782,,,,,3.41512722897654,7.78154067631122
2077,3.409,7.892,,,,,3.40882056021952,7.89178440171837
2078,3.413,8.013,,,,,3.41322941578192,8.01337253788663
2079,3.418,8.136,,,,,3.41838148846672,8.13610714049154
2080,3.417,8.253,,,,,3.41697149693156,8.25303896725561
2081,3.403,8.355,,,,,3.40305925336388,8.355473690962
2082,3.386,8.454,,,,,3.38597183411644,8.45417656275773
2083,3.356,8.538,,,,,3.35566948271255,8.5379141156069
2084,3.333,8.628,,,,,3.33310675718987,8.6278018434228
2085,3.296,8.701,,,,,3.29564320128792,8.70120602060053
2086,3.268,8.783,,,,,3.26780479298967,8.78302333025524
2087,3.251,8.874,,,,,3.2507819151984,8.8744473798925
2088,3.236,8.967,,,,,3.23626384263441,8.96706237229442
2089,3.236,9.074,,,,,3.23649947413387,9.07350276395106
2090,3.247,9.19,,,,,3.24745804908532,9.18950407272709
2091,3.253,9.297,,,,,3.25263954483506,9.29669966537656
2092,3.264,9.409,,,,,3.26405610012236,9.40900741485876
2093,3.238,9.483,,,,,3.23840340756108,9.48250464696383
2094,3.202,9.544,,,,,3.20175626345714,9.54390916546283
2095,3.17,9.609,,,,,3.17004314530199,9.60906351415059
2096,3.136,9.67,,,,,3.13564572981875,9.67004709697855
2097,3.115,9.744,,,,,3.11520645673745,9.7436875644945
2098,3.095,9.817,,,,,3.09543525788563,9.81698182326793
2099,3.092,9.905,,,,,3.0918463852152,9.90526690763567
2100,3.101,10.005,,,,,3.10076720168831,10.0049558940079
2101,3.111,10.103,,,,,3.11083986408465,10.1033564471918
2102,3.094,10.173,,,,,3.0940390785024,10.1732470618606
2103,3.078,10.242,,,,,3.07815922376326,10.2422701827389
2104,3.053,10.3,,,,,3.05265064488611,10.2998439860814
2105,3.018,10.346,,,,,3.01754025490318,10.3462003796608
2106,2.992,10.4,,,,,2.99199533109179,10.4004106545823
2107,2.969,10.456,,,,,2.96901519117564,10.4555825674561
2108,2.955,10.518,,,,,2.95524889155123,10.5184547377916
2109,2.949,10.588,,,,,2.94914883260005,10.5875652459087
2110,2.958,10.67,,,,,2.95753867338802,10.6697098826562
2111,2.989,10.773,,,,,2.9885899278333,10.7731393767879
2112,2.979,10.834,,,,,2.97851901653577,10.8341242542357
2113,2.969,10.895,,,,,2.96916897665772,10.8946443700285
2114,2.933,10.927,,,,,2.93287708667903,10.9268378807635
2115,2.914,10.976,,,,,2.91445341994263,10.975578691526
2116,2.882,11.01,,,,,2.88242613167733,11.0095290112723
2117,2.861,11.053,,,,,2.86076884297317,11.0526095280495
2118,2.843,11.099,,,,,2.84327950927568,11.0986046613103
2119,2.833,11.151,,,,,2.83331583862707,11.1510168369188
2120,2.843,11.222,,,,,2.84300608978046,11.221887052438
2121,2.864,11.303,,,,,2.86372650522731,11.3027086935821
2122,2.886,11.384,,,,,2.88644760703556,11.3844196323344
2123,2.858,11.414,,,,,2.85778938387285,11.4137488727054
2124,2.853,11.465,,,,,2.85256546933326,11.4654206860479
2125,2.816,11.485,,,,,2.81633814663379,11.4850791235514
2126,2.784,11.507,,,,,2.78369329218243,11.5072605889967
2127,2.763,11.54,,,,,2.76279986804169,11.5402298141846
2128,2.744,11.575,,,,,2.74419119392645,11.5745292770276
2129,2.738,11.62,,,,,2.73796021653072,11.6202082848754
2130,2.749,11.682,,,,,2.74912606870427,11.6823390005666
2131,2.792,11.775,,,,,2.79187315593539,11.7750637936995
2132,2.791,11.824,,,,,2.7912509308189,11.8235144830801
2133,2.792,11.873,,,,,2.79233025423649,11.8727848771932
2134,2.767,11.895,,,,,2.76700077272335,11.894719451746
2135,2.733,11.907,,,,,2.73317775800275,11.9073485710478
2136,2.695,11.914,,,,,2.69461937404968,11.9143730096669
2137,2.677,11.942,,,,,2.67731269704258,11.9417840878946
2138,2.66,11.969,,,,,2.66029134898917,11.9686219335492
2139,2.648,11.999,,,,,2.64806859878973,11.9994925651473
2140,2.644,12.037,,,,,2.64365890448259,12.0373661403562
2141,2.657,12.092,,,,,2.65653680451389,12.0916982231932
2142,2.67,12.146,,,,,2.67027380449591,12.1459974700578
2143,2.666,12.181,,,,,2.66577832486965,12.181098223846
2144,2.663,12.217,,,,,2.66339330810685,12.2173404231972
2145,2.653,12.245,,,,,2.65292100865502,12.2445967935141
2146,2.628,12.256,,,,,2.6278939644981,12.2563540892035
2147,2.619,12.284,,,,,2.61947502682876,12.2837787456785
2148,2.601,12.3,,,,,2.60095113657926,12.3003208769004
2149,2.588,12.322,,,,,2.58839886778565,12.3219116581457
2150,2.58,12.346,,,,,2.57959306058383,12.3464769533664
2151,2.575,12.374,,,,,2.57463415657074,12.373949582485
2152,2.587,12.418,,,,,2.58745977751972,12.4184707199085
2153,2.617,12.479,,,,,2.61711295808919,12.4790184551864
2154,2.638,12.531,,,,,2.63841709121608,12.5306066435227
2155,2.632,12.554,,,,,2.63217995927436,12.5538649518258
2156,2.622,12.573,,,,,2.6222172907415,12.5726595567233
2157,2.601,12.579,,,,,2.60085011633281,12.5793902681063
2158,2.572,12.578,,,,,2.57235749837639,12.5782451352882
2159,2.548,12.581,,,,,2.5483428804269,12.5809670180734
2160,2.533,12.592,,,,,2.53344085869641,12.5921802791849
2161,2.53,12.615,,,,,2.53049465506572,12.6147024263438
2162,2.544,12.653,,,,,2.5442983980354,12.6534951331465
2163,2.576,12.71,,,,,2.57626779146801,12.7097992603984
2164,2.607,12.764,,,,,2.60714711212489,12.7644488828421
2165,2.592,12.773,,,,,2.59208577971186,12.7725476353523
2166,2.594,12.797,,,,,2.5935672126562,12.7966718092176
2167,2.556,12.781,,,,,2.55614554005314,12.7812527613643
2168,2.529,12.775,,,,,2.52864092782265,12.7752866950821
2169,2.508,12.776,,,,,2.50818429674143,12.7757438578445
2170,2.495,12.783,,,,,2.49531460639966,12.7832278252255
2171,2.49,12.798,,,,,2.48975008203418,12.7975169552726
2172,2.497,12.824,,,,,2.49706406591519,12.8241075660057
2173,2.525,12.871,,,,,2.52526802072561,12.8710127010398
