year,RCP2.6,RCP4.5,RCP6.0,RCP8.5
2017.0,2.172227272727273,2.1258636363636367,2.064045454545455,2.2240000000000006
2018.0,2.218363636363637,2.169272727272728,2.0956363636363644,2.2821818181818188
2019.0,2.2644090909090915,2.2125909090909097,2.1262272727272737,2.3412727272727274
2020.0,2.3103636363636366,2.255818181818182,2.1558181818181823,2.4012727272727274
2021.0,2.338090909090909,2.2970454545454544,2.1834545454545458,2.4640909090909093
2022.0,2.364,2.338,2.21,2.528
2023.0,2.381,2.372,2.2350000000000003,2.577
2024.0,2.398,2.406,2.26,2.626
2025.0,2.415,2.44,2.285,2.675
2026.0,2.432,2.474,2.31,2.724
2027.0,2.449,2.508,2.335,2.773
2028.0,2.466,2.542,2.3600000000000003,2.822
2029.0,2.483,2.576,2.385,2.871
2030.0,2.5,2.61,2.41,2.92
2031.0,2.514,2.647,2.4410000000000003,2.98
2032.0,2.528,2.684,2.472,3.04
2033.0,2.542,2.721,2.503,3.1
2034.0,2.556,2.758,2.5340000000000003,3.16
2035.0,2.5700000000000003,2.795,2.5650000000000004,3.22
2036.0,2.584,2.832,2.596,3.28
2037.0,2.598,2.869,2.627,3.34
2038.0,2.612,2.906,2.6580000000000004,3.4
2039.0,2.6260000000000003,2.943,2.689,3.46
2040.0,2.64,2.98,2.72,3.52
2041.0,2.641,3.007,2.7550000000000003,3.589
2042.0,2.642,3.034,2.79,3.658
2043.0,2.643,3.061,2.825,3.727
2044.0,2.644,3.088,2.86,3.796
2045.0,2.645,3.115,2.895,3.865
2046.0,2.646,3.142,2.93,3.934
2047.0,2.647,3.169,2.965,4.003
2048.0,2.648,3.196,3.0,4.072
2049.0,2.649,3.223,3.035,4.141
2050.0,2.65,3.25,3.07,4.21
2051.0,2.642,3.275,3.103,4.286
2052.0,2.634,3.3,3.136,4.362
2053.0,2.626,3.325,3.169,4.438
2054.0,2.618,3.35,3.202,4.514
2055.0,2.61,3.375,3.235,4.59
2056.0,2.602,3.4,3.268,4.666
2057.0,2.594,3.425,3.301,4.742
2058.0,2.586,3.45,3.334,4.818
2059.0,2.578,3.475,3.367,4.894
2060.0,2.57,3.5,3.4,4.97
2061.0,2.564,3.515,3.45,5.043
2062.0,2.558,3.53,3.5,5.116
2063.0,2.552,3.545,3.55,5.189
2064.0,2.546,3.56,3.6,5.262
2065.0,2.54,3.575,3.65,5.335
2066.0,2.534,3.59,3.7,5.408
2067.0,2.528,3.605,3.75,5.481
2068.0,2.522,3.62,3.8,5.554
2069.0,2.516,3.635,3.85,5.627
2070.0,2.51,3.65,3.9,5.7
2071.0,2.499,3.656,3.937,5.761
2072.0,2.488,3.662,3.974,5.822
2073.0,2.477,3.668,4.011,5.883
2074.0,2.466,3.674,4.048,5.944
2075.0,2.455,3.68,4.085,6.005
2076.0,2.444,3.686,4.122,6.066
2077.0,2.433,3.692,4.159,6.127
2078.0,2.422,3.698,4.196,6.188
2079.0,2.411,3.704,4.233,6.249
2080.0,2.4,3.71,4.27,6.31
2081.0,2.404,3.717,4.307,6.392
2082.0,2.408,3.724,4.343999999999999,6.473999999999999
2083.0,2.412,3.731,4.380999999999999,6.556
2084.0,2.416,3.738,4.417999999999999,6.638
2085.0,2.42,3.745,4.455,6.72
2086.0,2.424,3.752,4.492,6.802
2087.0,2.428,3.759,4.529,6.884
2088.0,2.432,3.766,4.566,6.966
2089.0,2.436,3.773,4.603,7.048
2090.0,2.44,3.78,4.64,7.13
